"provider_id","hospital_name","address","city","state","zip_code","county_name","phone_number","measure_id","measure_name","compared_to_national","denominator","score","lower_estimate","higher_estimate","footnote","measure_start_date","measure_end_date"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL","36301","HOUSTON","(334) 793-8701","COMP_HIP_KNEE","Rate of complications for hip/knee replacement patients","No Different Than the National Rate","292","3.2","2.1","4.8",,"2015-04-01T00:00:00.000","2018-03-31T00:00:00.000"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL","36301","HOUSTON","(334) 793-8701","MORT_30_AMI","Death rate for heart attack patients","No Different Than the National Rate","688","13","11.0","15.5",,"2015-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL","36301","HOUSTON","(334) 793-8701","MORT_30_CABG","Death rate for CABG surgery patients","No Different Than the National Rate","291","4.3","2.6","6.8",,"2015-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL","36301","HOUSTON","(334) 793-8701","MORT_30_COPD","Death rate for COPD patients","No Different Than the National Rate","411","8.8","6.7","11.4",,"2015-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL","36301","HOUSTON","(334) 793-8701","MORT_30_HF","Death rate for heart failure patients","No Different Than the National Rate","869","12.7","10.7","15.0",,"2015-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL","36301","HOUSTON","(334) 793-8701","MORT_30_PN","Death rate for pneumonia patients","No Different Than the National Rate","560","17","14.4","20.0",,"2015-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL","36301","HOUSTON","(334) 793-8701","MORT_30_STK","Death rate for stroke patients","No Different Than the National Rate","617","14.1","11.8","16.8",,"2015-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL","36301","HOUSTON","(334) 793-8701","PSI_10_POST_KIDNEY","Postoperative Acute Kidney Injury Requiring Dialysis Rate","No Different Than the National Rate","1681","0.74","0","1.73",,"2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL","36301","HOUSTON","(334) 793-8701","PSI_11_POST_RESP","Postoperative Respiratory Failure Rate","No Different Than the National Rate","1196","8.66","4.4","12.92",,"2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL","36301","HOUSTON","(334) 793-8701","PSI_12_POSTOP_PULMEMB_DVT","Serious blood clots after surgery","No Different Than the National Rate","4076","4.73","3.10","6.36",,"2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL","36301","HOUSTON","(334) 793-8701","PSI_13_POST_SEPSIS","Blood stream infection after surgery","No Different Than the National Rate","1607","4.73","2.14","7.33",,"2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL","36301","HOUSTON","(334) 793-8701","PSI_14_POSTOP_DEHIS","A wound that splits open after surgery on the abdomen or pelvis","No Different Than the National Rate","905","0.76","0","1.71",,"2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL","36301","HOUSTON","(334) 793-8701","PSI_15_ACC_LAC","Accidental cuts and tears from medical treatment","No Different Than the National Rate","2650","0.90","0","1.87",,"2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL","36301","HOUSTON","(334) 793-8701","PSI_3_ULCER","Pressure sores","No Different Than the National Rate","11162","0.32","0","0.69",,"2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL","36301","HOUSTON","(334) 793-8701","PSI_4_SURG_COMP","Deaths among Patients with Serious Treatable Complications after Surgery","No Different Than the National Rate","185","163.11","127.1","199.11",,"2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL","36301","HOUSTON","(334) 793-8701","PSI_6_IAT_PTX","Collapsed lung due to medical treatment","No Different Than the National Rate","14440","0.42","0.24","0.59",,"2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL","36301","HOUSTON","(334) 793-8701","PSI_8_POST_HIP","Broken hip from a fall after surgery","No Different Than the National Rate","11971","0.14","0.06","0.22",,"2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL","36301","HOUSTON","(334) 793-8701","PSI_90_SAFETY","Serious complications","No Different Than the National Value","Not Available","0.99","0.76","1.22",,"2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL","36301","HOUSTON","(334) 793-8701","PSI_9_POST_HEM","Perioperative Hemorrhage or Hematoma Rate","No Different Than the National Rate","3862","2.43","1.37","3.49",,"2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010005","MARSHALL MEDICAL CENTERS SOUTH CAMPUS","2505 U S HIGHWAY 431 NORTH","BOAZ","AL","35957","MARSHALL","(256) 593-8310","COMP_HIP_KNEE","Rate of complications for hip/knee replacement patients","No Different Than the National Rate","257","2.8","1.7","4.4",,"2015-04-01T00:00:00.000","2018-03-31T00:00:00.000"
"010005","MARSHALL MEDICAL CENTERS SOUTH CAMPUS","2505 U S HIGHWAY 431 NORTH","BOAZ","AL","35957","MARSHALL","(256) 593-8310","MORT_30_AMI","Death rate for heart attack patients","No Different Than the National Rate","80","14.8","11.6","18.8",,"2015-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010005","MARSHALL MEDICAL CENTERS SOUTH CAMPUS","2505 U S HIGHWAY 431 NORTH","BOAZ","AL","35957","MARSHALL","(256) 593-8310","MORT_30_CABG","Death rate for CABG surgery patients","Not Available","Not Available","Not Available","Not Available","Not Available","5","2015-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010005","MARSHALL MEDICAL CENTERS SOUTH CAMPUS","2505 U S HIGHWAY 431 NORTH","BOAZ","AL","35957","MARSHALL","(256) 593-8310","MORT_30_COPD","Death rate for COPD patients","No Different Than the National Rate","559","10.6","8.4","13.3",,"2015-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010005","MARSHALL MEDICAL CENTERS SOUTH CAMPUS","2505 U S HIGHWAY 431 NORTH","BOAZ","AL","35957","MARSHALL","(256) 593-8310","MORT_30_HF","Death rate for heart failure patients","No Different Than the National Rate","318","14.4","11.4","17.9",,"2015-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010005","MARSHALL MEDICAL CENTERS SOUTH CAMPUS","2505 U S HIGHWAY 431 NORTH","BOAZ","AL","35957","MARSHALL","(256) 593-8310","MORT_30_PN","Death rate for pneumonia patients","Worse Than the National Rate","712","20.2","17.5","23.4",,"2015-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010005","MARSHALL MEDICAL CENTERS SOUTH CAMPUS","2505 U S HIGHWAY 431 NORTH","BOAZ","AL","35957","MARSHALL","(256) 593-8310","MORT_30_STK","Death rate for stroke patients","No Different Than the National Rate","180","16.5","12.9","21.0",,"2015-07-01T00:00:00.000","2018-06-30T00:00:00.000"
"010005","MARSHALL MEDICAL CENTERS SOUTH CAMPUS","2505 U S HIGHWAY 431 NORTH","BOAZ","AL","35957","MARSHALL","(256) 593-8310","PSI_10_POST_KIDNEY","Postoperative Acute Kidney Injury Requiring Dialysis Rate","No Different Than the National Rate","689","1.11","0","2.31",,"2016-07-01T00:00:00.000","2018-06-30T00:00:00.000"
