Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,1,2016-01-04,2016-01-10,87,87,0,3,8,0,2,13,0,0,0,0,13,,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,2,2016-01-11,2016-01-17,70,70,0,0,0,0,3,3,0,0,1,1,4,,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,3,2016-01-18,2016-01-24,102,102,0,0,0,0,2,2,0,0,0,0,2,,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,4,2016-01-25,2016-01-31,77,77,0,0,0,0,1,1,0,0,2,2,3,,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,5,2016-02-01,2016-02-07,98,0,0,0,0,0,0,0,0,0,0,0,0,,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,6,2016-02-08,2016-02-14,84,84,0,0,0,0,11,11,0,0,1,1,12,,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,7,2016-02-15,2016-02-21,95,95,0,0,0,0,15,15,0,0,0,0,15,,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,8,2016-02-22,2016-02-28,72,72,0,0,0,0,5,5,0,0,2,2,7,,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,9,2016-02-29,2016-03-06,92,92,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,10,2016-03-07,2016-03-13,82,82,0,0,0,0,6,6,0,0,0,0,6,,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,11,2016-03-14,2016-03-20,93,0,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,12,2016-03-21,2016-03-27,74,0,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,13,2016-03-28,2016-04-03,93,0,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,14,2016-04-04,2016-04-10,67,0,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,15,2016-04-11,2016-04-17,46,0,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,16,2016-04-18,2016-04-24,60,0,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,17,2016-04-25,2016-05-01,67,0,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,18,2016-05-02,2016-05-08,22,0,0,0,0,0,0,0,0,0,0,0,0,,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,19,2016-05-09,2016-05-15,49,0,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,20,2016-05-16,2016-05-22,51,0,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,21,2016-05-23,2016-05-29,53,0,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,22,2016-05-30,2016-06-05,55,55,1,0,1,0,0,2,0,0,0,0,2,,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,23,2016-06-06,2016-06-12,30,30,1,0,2,0,0,3,0,0,0,0,3,,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,24,2016-06-13,2016-06-19,30,30,1,0,1,0,0,2,0,0,0,0,2,,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,25,2016-06-20,2016-06-26,36,36,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,26,2016-06-27,2016-07-03,26,26,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2016,27,2016-07-04,2016-07-10,12,12,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
