NPI,Entity Type Code,Provider Organization Name (Legal Business Name),Provider Last Name (Legal Name),Provider First Name,Provider Middle Name,City,State
1952863987,2,OREMOS HOME HEALTH CARE,,,,NORTHRIDGE,CA
1831675404,2,DAVID M FILSOOF MD INC,,,,BEVERLY HILLS,CA
1215499249,1,,KUKULSKI,JACQUELYN,MICHELLE,CHICAGO,IL
1861954893,2,CRANE REHAB CENTER LLC,,,,NEW ORLEANS,LA
1770045700,2,BOON ACUPUNCTURE LLC,,,,BETHESDA,MD
1689136616,2,HOMEBOUNCE IN-HOME THERAPY SERVICES INC.,,,,TORRANCE,CA
1497217426,2,BRETON FAMILY DENTAL,,,,LITCHFIELD PARK,AZ
1306308333,1,,MCMILLAN,LEE,AARON,AUSTIN,TX
1942762976,1,,BROWN,LAUREN,ASHLEY,DURHAM,NC
1760944797,1,,SIREK,DAWN,KATHLEEN,LOUISVILLE,KY
1588126510,1,,ABUMOAWAD,ABDELRHMAN,,KANSAS CITY,MO
1497217434,1,,LARA ARREDONDO,BIANCA,,VENTURA,CA
1396031308,1,,DESAI,NEIL,KISHOR,COLUMBUS,GA
1952357097,1,,CULLISON,BRIAN,MATTHEW,CHEYENNE,WY
1124580154,1,,HLADIK,CASEY,,ALBANY,NY
1033671060,1,,PANDLEY,RAYAH,T.,ATLANTA,GA
1427548056,1,,BENJAMIN,KRYSTAL,LYNNISE,MOUNT CLEMENS,MI
1851853881,1,,KADAR,EINAT,,NEW YORK,NY
1679035604,1,,MAYA,JENNIFER,JEAN,GARDEN GROVE,CA
1861706699,1,,FRYE,DEBORA,ANNETTE,MIAMI,FL
1306308341,1,,ADAMS,ALLISON,CAROLE,BIRMINGHAM,AL
1215499256,1,,HASAN,MOHAMMED,ASBAT,RIVERSIDE,CA
1912002999,1,,SCHUMACHER,RANDOLPH,E.,FLINT,MI
1285020198,1,,PALLO,NICHOLAS,PATRICK,KEARNEY,MO
1124580162,1,,DITTAKAVI,TEJASWI,SUMA,OAK LAWN,IL
1033671078,1,,UEYAMA,HIROKI,ANDREW,NEW YORK,NY
1942762984,1,,POWELL,OPAL,MAE,INDEPENDENCE,VA
1932191913,1,,BUNDE,DAVID,KENT,FORT WAYNE,IN
1851853899,1,,SNYDER,HANNAH,,CLEVELAND,OH
1679035612,1,,SOLOMON,DUSTIN,P,ENERGY,IL
1588126528,1,,TUCK,JACLYN,,SCOTTSDALE,AZ
